policy,site,lead_scenario,mean_lead_hours,EENS_mean,EENS_std,EENS_min,EENS_max,diesel_mean,stockout_mean,uptime_mean,cost_mean,n,EENS_sem,EENS_ci95_lo,EENS_ci95_hi
rlinv,site7,delayed,48,5.433487100000001,20.06141757650611,0.0,119.06237000000002,271.3505129,0.0,99.536111,577.4681986142857,100,2.006141757650611,1.501449255004803,9.365524944995197
rlinv,site7,monsoon,72,15.104381200000002,35.01537422414973,0.0,156.00367000000003,261.6796188,0.0,98.73055500000001,567.7973045142858,100,3.501537422414973,8.241367852066656,21.96739454793335
rlinv,site7,very_delayed,120,34.90391580000001,55.56736932321084,0.0,211.5492,241.88008419999997,0.0,97.097225,547.9977699142856,100,5.556736932321084,24.01271141265068,45.79512018734933
rlinv,site7,extreme,336,74.09560040000001,67.61668576169332,0.0,227.34270000000004,202.68839960000003,0.0,93.877781,508.80608531428567,100,6.761668576169332,60.84272999070812,87.3484708092919
trackb,site10,no_delay,0,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
trackb,site10,fast,12,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
trackb,site10,normal,24,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
trackb,site10,delayed,48,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
trackb,site10,monsoon,72,33.3538384,11.299943704172788,0.0,41.66501000000001,8.311171600000005,0.0,95.927786,398.1852477904762,100,1.1299943704172788,31.139049433982134,35.568627366017864
trackb,site10,very_delayed,120,30.413666700000004,14.197243661356865,0.0,41.66501000000001,11.251343300000006,0.0,96.28334000000001,401.1254194904762,100,1.4197243661356864,27.631006942374057,33.19632645762595
trackb,site10,extreme,336,24.324335500000007,18.651659471627735,0.0,41.66501000000001,17.340674500000006,0.0,97.047225,407.2147506904762,100,1.8651659471627735,20.66861024356097,27.980060756439045
trackb,site2,no_delay,0,301.63338,156.00858418397132,18.28,582.5134,447.92804,0.0,89.388883,1411.5738114285714,100,15.600858418397133,271.05569749994163,332.21106250005835
trackb,site2,fast,12,7.926162000000001,21.13828747626563,0.0,139.0896,741.635258,0.0,99.674997,1705.281029428571,100,2.113828747626563,3.7830576546519366,12.069266345348066
trackb,site2,normal,24,2.8233000000000006,17.480718427473345,0.0,136.84160000000003,746.7381200000001,0.0,99.905555,1710.3838914285711,100,1.7480718427473345,-0.6029208117847751,6.249520811784777
trackb,site2,delayed,48,13.493158000000001,54.2473895543337,0.0,337.3772,736.068262,0.0,99.533333,1699.7140334285712,100,5.42473895543337,2.860669647350596,24.125646352649404
trackb,site2,monsoon,72,574.455657,222.30414758037364,0.0,749.56142,175.105763,0.0,79.644429,1138.7515344285712,100,22.230414758037362,530.8840440742467,618.0272699257532
trackb,site2,very_delayed,120,541.4058318,248.50356480842328,0.0,749.56142,208.15558819999998,0.0,80.799984,1171.8013596285712,100,24.85035648084233,492.699133097549,590.1125305024509
trackb,site2,extreme,336,515.9361157999999,244.510614370878,0.0,749.56142,233.6253042,0.0,81.694431,1197.2710756285712,100,24.451061437087798,468.0120353833078,563.860196216692
trackb,site5,no_delay,0,376.0207832,105.50382164984744,211.56404,570.97232,334.6093768,0.0,83.772222,1016.7344053714286,100,10.550382164984743,355.3420341566299,396.6995322433701
trackb,site5,fast,12,7.718951999999999,24.140993846829556,0.0,184.0864,702.9112079999999,0.0,99.688889,1385.0362365714286,100,2.4140993846829555,2.987317206021406,12.45058679397859
trackb,site5,normal,24,8.046190399999999,26.679184435516287,0.0,153.4896,702.5839695999999,0.0,99.680556,1384.7089981714287,100,2.6679184435516285,2.817070250638807,13.27531054936119
trackb,site5,delayed,48,17.7136564,63.190138242934566,0.0,356.33564,692.9165035999999,0.0,99.255555,1375.0415321714286,100,6.319013824293457,5.328389304384826,30.098923495615175
trackb,site5,monsoon,72,571.2242299999999,208.50014537598574,0.0,710.6301599999999,139.40593,0.0,76.161133,821.5309585714286,100,20.850014537598575,530.3582015063067,612.0902584936931
trackb,site5,very_delayed,120,542.6799288,232.1960938469309,0.0,710.6301599999999,167.95023120000002,0.0,77.408351,850.0752597714287,100,23.21960938469309,497.1694944060015,588.1903631939985
trackb,site5,extreme,336,526.228716,207.9590654439326,6.704960000000001,710.6301599999999,184.401444,0.0,78.02502,866.5264725714286,100,20.795906544393258,485.46873917298916,566.9886928270107
trackb,site7,no_delay,0,128.044229,53.53493438343986,42.3173,227.34270000000004,148.739771,0.0,89.47500400000001,454.8574567142857,100,5.353493438343986,117.5513818608458,138.5370761391542
trackb,site7,fast,12,8.6490367,11.383159536127543,0.0,57.249300000000005,268.13496330000004,0.0,99.22777500000001,574.2526490142857,100,1.1383159536127543,6.417937430919002,10.880135969080998
trackb,site7,normal,24,1.8797507000000002,6.521681037991003,0.0,39.2768,274.9042493,0.0,99.838889,581.0219350142856,100,0.6521681037991003,0.6015012165537637,3.158000183446237
trackb,site7,delayed,48,5.126102800000001,19.52524374470417,0.0,119.06237000000002,271.6578972,0.0,99.561111,577.7755829142857,100,1.952524374470417,1.2991550260379836,8.953050573962019
trackb,site7,monsoon,72,214.0673084,78.51774454789033,0.0,276.784,62.716691600000004,0.0,82.663895,368.8343773142857,100,7.851774454789033,198.6778304686135,229.4567863313865
trackb,site7,very_delayed,120,206.37252550000002,84.05419634618238,0.0,276.784,70.4114745,0.0,83.27223,376.52916021428575,100,8.405419634618237,189.8979030161483,222.84714798385176
