policy,lead_scenario,site,seed,EENS_mean,diesel_mean,uptime_mean
a6,delayed,site5,42,0.0,710.6301599999999,100.0
a6,delayed,site5,99,29.463484,681.166676,98.72222000000001
a6,delayed,site5,123,33.841364,676.7887959999999,98.52777999999999
a6,delayed,site5,314,4.9487879999999995,705.6813719999999,99.77777999999999
a6,delayed,site5,500,10.085068,700.545092,99.5
a6,delayed,site5,777,3.334496,707.295664,99.83333
a6,delayed,site5,999,35.633564,674.996596,98.47222000000001
a6,delayed,site6,7,0.0,0.0,100.0
a6,delayed,site6,13,0.0,0.0,100.0
a6,delayed,site6,21,0.0,0.0,100.0
a6,delayed,site6,42,0.0,0.0,100.0
a6,delayed,site6,99,0.0,0.0,100.0
a6,delayed,site6,123,0.0,0.0,100.0
a6,delayed,site6,314,0.0,0.0,100.0
a6,delayed,site6,500,0.0,0.0,100.0
a6,delayed,site6,777,0.0,0.0,100.0
a6,delayed,site6,999,0.0,0.0,100.0
a6,delayed,site7,7,0.0,276.784,100.0
a6,delayed,site7,13,7.514287000000001,269.269713,99.33333
a6,delayed,site7,21,13.904967000000003,262.879033,98.77777999999999
a6,delayed,site7,42,0.0,276.784,100.0
a6,delayed,site7,99,2.5894500000000003,274.19455,99.80555
a6,delayed,site7,123,11.478837000000002,265.305163,99.02777999999999
a6,delayed,site7,314,0.0,276.784,100.0
a6,delayed,site7,500,0.0,276.784,100.0
a6,delayed,site7,777,1.21,275.57399999999996,99.91667
a6,delayed,site7,999,14.563487,262.220513,98.75
a6,delayed,site8,7,0.0,26.8936,100.0
a6,delayed,site8,13,0.0,26.8936,100.0
a6,delayed,site8,21,0.0,26.8936,100.0
a6,delayed,site8,42,0.0,26.8936,100.0
a6,delayed,site8,99,0.0,26.8936,100.0
a6,delayed,site8,123,0.2346,26.659,99.91667
a6,delayed,site8,314,0.0,26.8936,100.0
a6,delayed,site8,500,0.02892000000000001,26.86468,99.97222000000001
a6,delayed,site8,777,0.0,26.8936,100.0
a6,delayed,site8,999,1.20348,25.69012,99.66667
a6,delayed,site9,7,0.0,57.56046000000001,100.0
a6,delayed,site9,13,0.0,57.56046000000001,100.0
a6,delayed,site9,21,0.0,57.56046000000001,100.0
a6,delayed,site9,42,0.0,57.56046000000001,100.0
a6,delayed,site9,99,0.0,57.56046000000001,100.0
a6,delayed,site9,123,0.0,57.56046000000001,100.0
a6,delayed,site9,314,0.0,57.56046000000001,100.0
a6,delayed,site9,500,0.0,57.56046000000001,100.0
a6,delayed,site9,777,0.0,57.56046000000001,100.0
a6,delayed,site9,999,0.0,57.56046000000001,100.0
a6,extreme,site1,7,0.0,36.545,100.0
a6,extreme,site1,13,0.0,36.545,100.0
a6,extreme,site1,21,0.0,36.545,100.0
a6,extreme,site1,42,0.0,36.545,100.0
a6,extreme,site1,99,0.0,36.545,100.0
a6,extreme,site1,123,0.0,36.545,100.0
a6,extreme,site1,314,0.0,36.545,100.0
a6,extreme,site1,500,0.0,36.545,100.0
a6,extreme,site1,777,0.0,36.545,100.0
